day,Susceptible,InfectiousX,InfectiousY,InfectiousXY,StayAtHomeX,StayAtHomeY,StayAtHomeXY,StayInHospitalX,StayInHospitalY,StayInHospitalXY,StayInICUX,StayInICUY,StayInICUXY,RecoveredX,RecoveredY,RecoveredXY,DeadX,DeadY,DeadXY
61.0,8993240.56135469,0.0,291.02593637001365,0.0,0.0,1203.287273236129,0.0,0.0,0.48754854853900736,0.0,0.0,0.044858565780105365,0.0,0.0,5264.572379434717,0.0,0.0,0.020649253295539023,0.0
62.0,8992930.898678947,0.0,303.4834396801932,0.0,0.0,1254.834652128592,0.0,0.0,0.5084345417004084,0.0,0.0,0.04678014962656765,0.0,0.0,5510.206403352659,0.0,0.0,0.021611299212109917,0.0
63.0,8992607.985108143,0.0,316.47126268398756,0.0,0.0,1308.5799360233582,0.0,0.0,0.5302110831269959,0.0,0.0,0.048783657993597754,0.0,0.0,5766.362083936852,0.0,0.0,0.022614551806224015,0.0
64.0,8992271.256929932,0.0,330.0117245746087,0.0,0.0,1364.6159356678625,0.0,0.0,0.5529157779245528,0.0,0.0,0.05087254950185546,0.0,0.0,6033.487960803552,0.0,0.0,0.02366076752656359,0.0
65.0,8991920.126740888,0.0,344.1280613685358,0.0,0.0,1423.0393015746793,0.0,0.0,0.5765877869968565,0.0,0.0,0.053050425793010496,0.0,0.0,6312.051506252349,0.0,0.0,0.024751776943342157,0.0
66.0,8991553.982476272,0.0,358.8444615841372,0.0,0.0,1483.950675897147,0.0,0.0,0.6012678885827116,0.0,0.0,0.055321037180240624,0.0,0.0,6602.539907869944,0.0,0.0,0.025889487810686618,0.0
67.0,8991172.186402496,0.0,374.1861031312795,0.0,0.0,1547.4548496887487,0.0,0.0,0.626998541974395,0.0,0.0,0.05768828849849482,0.0,0.0,6905.460882019521,0.0,0.0,0.027075888249736266,0.0
68.0,8990774.074070351,0.0,390.1791914372436,0.0,0.0,1613.6609256828679,0.0,0.0,0.6538239534728357,0.0,0.0,0.06015624515952212,0.0,0.0,7221.343519318627,0.0,0.0,0.02831305005675644,0.0
69.0,8990358.953228857,0.0,406.85099883213684,0.0,0.0,1682.682486723023,0.0,0.0,0.6817901446322597,0.0,0.0,0.06272913941642169,0.0,0.0,7550.739163215562,0.0,0.0,0.029603132140592722,0.0
70.0,8989926.102697266,0.0,424.2299052158702,0.0,0.0,1754.6377699720215,0.0,0.0,0.7109450228463476,0.0,0.0,0.06541137684240286,0.0,0.0,7894.222322807824,0.0,0.0,0.030948384093919402,0.0
71.0,8989474.771194763,0.0,442.34544002703615,0.0,0.0,1829.649847024301,0.0,0.0,0.741338454326244,0.0,0.0,0.06820754302827711,0.0,0.0,8252.391621070421,0.0,0.0,0.032351149902828176,0.0
72.0,8989004.176126137,0.0,461.228325532024,0.0,0.0,1907.8468100406203,0.0,0.0,0.7730223395187068,0.0,0.0,0.0711224105030096,0.0,0.0,8625.870779685743,0.0,0.0,0.033813871799397245,0.0
73.0,8988513.50232214,0.0,480.9105214504097,0.0,0.0,1989.3619640183213,0.0,0.0,0.8060506910102659,0.0,0.0,0.07416094588142559,0.0,0.0,9015.309641690637,0.0,0.0,0.035339094261967394,0.0
74.0,8988001.900733123,0.0,501.4252709300191,0.0,0.0,2074.3340253031547,0.0,0.0,0.8404797139603489,0.0,0.0,0.07732831724288662,0.0,0.0,9421.385233177261,0.0,0.0,0.03692946816793579,0.0
75.0,8987468.487074833,0.0,522.8071478820418,0.0,0.0,2162.907326440246,0.0,0.0,0.8763678891028951,0.0,0.0,0.0806299017444329,0.0,0.0,9844.802865305728,0.0,0.0,0.03858775510395718,0.0
76.0,8986912.340424785,0.0,545.0921056831716,0.0,0.0,2255.2320274518815,0.0,0.0,0.9137760583520069,0.0,0.0,0.08407129347150369,0.0,0.0,10286.297277904268,0.0,0.0,0.04031683183850582,0.0
77.0,8986332.50176767,0.0,568.3175272478557,0.0,0.0,2351.464333618661,0.0,0.0,0.9527675130426172,0.0,0.0,0.087658311528916,0.0,0.0,10746.633825949653,0.0,0.0,0.04211969496182078,0.0
78.0,8985727.97248891,0.0,592.5222764693868,0.0,0.0,2451.7667198271383,0.0,0.0,0.9934080848317807,0.0,0.0,0.09139700837428029,0.0,0.0,11226.609710233979,0.0,0.0,0.04399946569829947,0.0
79.0,8985097.71281459,0.0,617.7467510237335,0.0,0.0,2556.30816153264,0.0,0.0,1.0357662392803137,0.0,0.0,0.09529367839546916,0.0,0.0,11727.055253536153,0.0,0.0,0.04595939489645202,0.0
80.0,8984440.640196592,0.0,644.0329365244711,0.0,0.0,2665.264372368793,0.0,0.0,1.079913172127536,0.0,0.0,0.09935486673310424,0.0,0.0,12248.83522362299,0.0,0.0,0.048002868201550454,0.0
81.0,8983755.627641493,0.0,671.424462011182,0.0,0.0,2778.8180484164604,0.0,0.0,1.1259229082642885,0.0,0.0,0.10358737834830835,0.0,0.0,12792.850204410774,0.0,0.0,0.050133411416124804,0.0
82.0,8983041.501982152,0.0,699.9666567468619,0.0,0.0,2897.1591191232087,0.0,0.0,1.1738724034006052,0.0,0.0,0.10799828733514512,0.0,0.0,13360.03801661784,0.0,0.0,0.05235469605344775,0.0
83.0,8982297.04209052,0.0,729.7066082924883,0.0,0.0,3020.485004840639,0.0,0.0,1.223841648414817,0.0,0.0,0.11259494647626857,0.0,0.0,13951.375189234157,0.0,0.0,0.05467054508913766,0.0
84.0,8981520.977030475,0.0,760.6932218185034,0.0,0.0,3149.0008809199207,0.0,0.0,1.2759137763599275,0.0,0.0,0.11738499703927252,0.0,0.0,14567.878483126045,0.0,0.0,0.057084938915959026,0.0
85.0,8980711.984149534,0.0,792.9772806039671,0.0,0.0,3282.9199482763415,0.0,0.0,1.3301751720910733,0.0,0.0,0.12237637881010821,0.0,0.0,15210.606468077896,0.0,0.0,0.05960202150684057,0.0
86.0,8979868.68710852,0.0,826.6115076639951,0.0,0.0,3422.4637103001414,0.0,0.0,1.3867155844644237,0.0,0.0,0.1275773403586712,0.0,0.0,15880.661154552809,0.0,0.0,0.062226106791040625,0.0
87.0,8978989.65384787,0.0,861.6506284351105,0.0,0.0,3567.862255954733,0.0,0.0,1.4456282410430414,0.0,0.0,0.13299644953027767,0.0,0.0,16579.18968142494,0.0,0.0,0.06496168524827117,0.0
88.0,8978073.394489862,0.0,898.1514344360434,0.0,0.0,3719.3545488624313,0.0,0.0,1.5070099652287854,0.0,0.0,0.1386426041552008,0.0,0.0,17307.386060901765,0.0,0.0,0.06781343072544556,0.0
89.0,8977118.359175758,0.0,936.1728478082298,0.0,0.0,3877.1887221334514,0.0,0.0,1.5709612957212882,0.0,0.0,0.14452504296675367,0.0,0.0,18066.49298180863,0.0,0.0,0.07078620748053198,0.0
90.0,8976122.93583741,0.0,975.775986625854,0.0,0.0,4041.6223786446462,0.0,0.0,1.637586608185027,0.0,0.0,0.15065335671654786,0.0,0.0,18857.803672356204,0.0,0.0,0.07388507745777748,0.0
91.0,8975085.447902322,0.0,1017.0242308494285,0.0,0.0,4212.922896420494,0.0,0.0,1.7069942389837667,0.0,0.0,0.15703749947349024,0.0,0.0,19682.663823445346,0.0,0.0,0.07711530779830343,0.0
92.0,8974004.151932312,0.0,1059.983288779835,0.0,0.0,4391.36773870984,0.0,0.0,1.7792966108176003,0.0,0.0,0.16368780009087697,0.0,0.0,20542.473573490464,0.0,0.0,0.08048237858977533,0.0
93.0,8972877.235194948,0.0,1104.721263850984,0.0,0.0,4577.244768286981,0.0,0.0,1.8546103600716353,0.0,0.0,0.17061497382347088,0.0,0.0,21438.689555653793,0.0,0.0,0.08399199085848456,0.0
94.0,8971702.813168125,0.0,1151.3087215790376,0.0,0.0,4770.8525654355035,0.0,0.0,1.933056465656825,0.0,0.0,0.17783013407378842,0.0,0.0,22372.827008282,0.0,0.0,0.08765007480678792,0.0
95.0,8970478.92697742,0.0,1199.8187564641921,0.0,0.0,4972.500748995737,0.0,0.0,2.014760379092156,0.0,0.0,0.18534480424391758,0.0,0.0,23346.461949221088,0.0,0.0,0.0914627982983669,0.0
